# Task: bending2,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
#columns:time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss13,var_rss13,Activity
0,32.5,0.5,0,0,19,1,Bending2
250,32.5,0.5,0,0,18.5,0.5,Bending2
500,32.75,0.43,1,0,18,0,Bending2
750,32.5,0.5,0,0,17.5,0.5,Bending2
1000,32.5,0.5,7.5,0.5,17.5,0.87,Bending2
1250,32.67,0.47,11,1,16.75,0.83,Bending2
1500,32.5,0.5,6.25,0.83,18,0,Bending2
1750,32.5,0.5,3.5,0.87,18,0,Bending2
2000,32.33,0.47,6,0,18.33,0.47,Bending2
2250,32.67,0.47,8,0.82,18,0,Bending2
2500,32.5,0.5,8.33,3.3,16.67,0.47,Bending2
2750,32.5,0.5,10.33,1.25,16,1.22,Bending2
3000,32.25,0.83,9,3.08,16,0.71,Bending2
3250,32,0,2.67,0.47,15.75,0.83,Bending2
3500,31.75,0.43,2.75,1.09,16.5,1.12,Bending2
3750,32,0,1,0,17.5,0.87,Bending2
4000,32.25,0.83,0,0,17.5,0.5,Bending2
4250,32.25,0.43,0,0,17,1,Bending2
4500,31.75,0.43,5.33,3.3,17.75,0.43,Bending2
4750,31.5,0.5,9.5,0.5,17.75,0.43,Bending2
5000,31.5,0.5,5,2.16,17.33,0.47,Bending2
5250,31.5,0.5,4.5,0.5,17.5,0.5,Bending2
5500,31.67,0.47,4.5,1.12,18,0,Bending2
5750,31.5,0.5,1.67,0.47,18,0,Bending2
6000,31.67,0.47,1,0,18.33,0.47,Bending2
6250,31.33,0.47,2.5,0.5,18,0,Bending2
6500,31.5,0.5,2.67,0.47,18,0,Bending2
6750,31.25,0.83,3,0,18.25,0.43,Bending2
7000,31.25,0.43,2.5,0.5,18.5,0.5,Bending2
7250,31.5,0.5,4,0,18.5,0.5,Bending2
7500,31.5,0.5,5,1.22,18.5,0.5,Bending2
7750,31.5,0.5,5,0,18,0,Bending2
8000,31.67,0.47,8.75,0.43,17.67,0.47,Bending2
8250,31.25,0.83,8.5,0.5,18.25,0.43,Bending2
8500,31.25,0.83,11,0.71,18,0,Bending2
8750,31.33,0.47,4.5,2.29,18,0,Bending2
9000,31.5,0.5,2,0,18,0,Bending2
9250,31.5,0.5,5.33,1.7,17.5,0.5,Bending2
9500,30.75,0.43,11,1.22,18,0,Bending2
9750,30.75,0.43,11,1.22,18.25,0.43,Bending2
10000,30.67,0.47,5.33,1.25,18.5,0.5,Bending2
10250,31.5,0.5,6,0,18.67,0.47,Bending2
10500,30.75,0.43,5.67,0.47,18.5,0.5,Bending2
10750,30.5,0.5,3,0,19,0.82,Bending2
11000,30.67,0.47,6.5,1.5,18,0,Bending2
11250,30.75,0.83,9.25,1.09,18,0,Bending2
11500,30.67,0.47,11,0.82,18,0,Bending2
11750,30.75,0.43,11,0,18.5,0.5,Bending2
12000,30.5,0.5,11.25,0.43,18.5,0.5,Bending2
12250,30.67,0.47,11.25,0.43,19,0.82,Bending2
12500,30.5,0.5,11,0.71,19.75,0.83,Bending2
12750,30.5,0.5,11.33,0.47,19.67,0.94,Bending2
13000,31.5,0.5,9,1,19.25,1.3,Bending2
13250,33,0,3.67,1.7,17,3.74,Bending2
13500,32.67,0.47,7.33,3.09,11,2.92,Bending2
13750,32.25,0.43,6.25,3.34,14,6.4,Bending2
14000,33,0,8,3.16,23,0.71,Bending2
14250,32.5,0.87,9.25,2.68,23,1.22,Bending2
14500,31.5,0.5,10.75,0.83,23.25,0.83,Bending2
14750,32.5,0.5,10,0.71,22,0.71,Bending2
15000,32.25,0.83,11.5,0.5,21.5,0.5,Bending2
15250,31.75,0.43,11.5,0.87,22,1,Bending2
15500,32.25,0.43,9.75,0.43,22.25,0.83,Bending2
15750,32.5,0.5,11.67,0.47,22.33,0.47,Bending2
16000,32.25,0.83,11.75,0.43,22.25,0.83,Bending2
16250,32.5,0.5,11,0.82,22.33,0.94,Bending2
16500,32.25,0.83,11.75,0.43,22,0.71,Bending2
16750,31.75,0.43,10.25,0.43,22.5,0.5,Bending2
17000,31.33,0.47,10,0,22,0.82,Bending2
17250,31.5,0.5,10.25,0.83,22,0.71,Bending2
17500,31.33,0.47,11.33,0.94,21.75,0.83,Bending2
17750,31.33,0.47,12.33,0.47,21,0,Bending2
18000,31.5,0.5,13.5,0.5,19,0.71,Bending2
18250,31.5,0.5,13.5,0.5,19,1.22,Bending2
18500,31.33,0.47,12.33,0.47,21.75,0.83,Bending2
18750,31.67,0.47,14.33,0.47,22.5,0.5,Bending2
19000,31.2,0.75,13.4,0.49,22,0.82,Bending2
19250,31.25,0.83,14.33,0.47,21.67,0.94,Bending2
19500,31.67,0.47,14.5,0.5,23,0.82,Bending2
19750,30.67,0.94,13.67,0.47,22,0.71,Bending2
20000,31,0.71,13.75,0.43,21.5,0.5,Bending2
20250,31.25,0.43,13.75,0.43,21.75,0.83,Bending2
20500,31.5,0.5,13.5,0.5,22,0.71,Bending2
20750,31.25,0.83,12.75,0.83,22.5,1.12,Bending2
21000,31,0.71,13.5,0.5,21.5,2.18,Bending2
21250,31,0.71,12.25,0.43,15,0,Bending2
21500,31.75,0.43,9,1.63,16.33,0.94,Bending2
21750,32.33,0.47,8.25,4.44,20.33,1.7,Bending2
22000,31.67,0.47,12.67,0.94,16,1.22,Bending2
22250,32.67,0.47,12.5,0.87,17,0.82,Bending2
22500,31.25,0.83,13.75,1.09,17,2,Bending2
22750,31,0.82,10,1,20,1.41,Bending2
23000,30.5,0.5,9,0,20,0.82,Bending2
23250,31,1,9.67,0.47,20.67,0.47,Bending2
23500,32,0,11.67,0.47,19.5,0.5,Bending2
23750,31.25,0.83,9.75,0.43,18.75,0.83,Bending2
24000,31,1,10,0,17.67,0.47,Bending2
24250,31.25,0.83,11.25,0.43,17.75,0.43,Bending2
24500,30,0,10.5,0.5,17.67,0.47,Bending2
24750,31.33,0.94,10.5,0.5,17.67,0.47,Bending2
25000,31.5,0.5,10.5,0.5,18,0,Bending2
25250,31.5,0.5,10,0.71,18,0,Bending2
25500,30.5,0.5,8.5,1.12,17.5,0.5,Bending2
25750,30.5,0.5,5.75,0.43,18.25,1.48,Bending2
26000,31,0,8,0.71,17.33,0.94,Bending2
26250,31,0.71,7,0.82,17.67,0.47,Bending2
26500,31.5,0.5,6.33,0.47,18.33,0.47,Bending2
26750,32,0,7,0.82,18,0,Bending2
27000,31.5,0.5,8.67,0.47,18,0,Bending2
27250,31,1,6.5,0.5,19.33,1.25,Bending2
27500,31,0.82,6,1.41,18.75,0.83,Bending2
27750,30.75,0.43,4.33,2.36,18.5,0.87,Bending2
28000,30.67,0.47,2.5,0.5,17.75,0.83,Bending2
28250,31,0,5.33,2.05,17.25,0.83,Bending2
28500,30.67,0.94,7,0.82,17.75,1.79,Bending2
28750,30.33,0.47,11.33,0.94,19.5,1.12,Bending2
29000,30.33,0.47,12.75,0.83,18.33,1.7,Bending2
29250,30,0,14,0.82,18.25,0.43,Bending2
29500,30,0,12,0,17.33,0.47,Bending2
29750,30,0,12,0,15,0.82,Bending2
30000,30,0,11.5,0.5,15.67,0.94,Bending2
30250,30,0,12,0,17.25,0.83,Bending2
30500,30,0,10.75,0.83,18.75,0.83,Bending2
30750,30,0,11.33,0.47,20,1,Bending2
31000,30,0,9.25,1.48,19.75,0.83,Bending2
31250,30,0,6,0.71,19,0.71,Bending2
31500,30,0,5.5,0.5,19.75,1.3,Bending2
31750,30,0,5.5,0.5,19.75,1.3,Bending2
32000,30,0,10.82,1.11,19.64,0.98,Bending2
32250,30,0,10.82,1.11,19.64,0.98,Bending2
32500,30,0,9.67,0.47,19.33,0.94,Bending2
32750,30,0,9.33,0.47,19.25,0.83,Bending2
33000,30,0,9.33,0.47,18.67,0.94,Bending2
33250,30,0,9.75,0.83,18.75,0.83,Bending2
33500,30,0,11.75,0.43,18.5,0.5,Bending2
33750,30,0,10.25,0.83,19,0,Bending2
34000,30,0,10,0.82,19,0.82,Bending2
34250,30,0,10.67,0.47,18.75,0.83,Bending2
34500,30,0,9,0,19.5,1.12,Bending2
34750,30.25,0.43,9,0,20.5,0.5,Bending2
35000,30,0,9.25,3.27,18,1.63,Bending2
35250,30.67,0.47,5,2.74,17.33,0.94,Bending2
35500,30,0,4.75,1.3,17.33,0.47,Bending2
35750,30,0,7.67,0.47,16.67,0.94,Bending2
36000,30,0,8.75,0.43,17,0,Bending2
36250,30.67,0.47,6.75,3.56,15.67,0.94,Bending2
36500,30.33,0.47,4,2.83,14.5,1.5,Bending2
36750,30,0,11,1.22,12.5,0.5,Bending2
37000,30,0,12,0,13.25,1.3,Bending2
37250,30,0,7.67,3.3,16,1.87,Bending2
37500,30.25,0.43,2,1.22,18.25,0.43,Bending2
37750,30,0,3.75,0.43,18,0,Bending2
38000,30,0,2.5,0.5,18,0,Bending2
38250,30,0,2.25,1.09,17.67,0.47,Bending2
38500,30,0,1.25,0.43,17.67,0.47,Bending2
38750,30,0,2.33,0.47,17.33,0.47,Bending2
39000,30,0,4,0,17.67,0.47,Bending2
39250,30,0,3,0,18,0,Bending2
39500,30,0,1.8,0.98,18,0,Bending2
39750,30,0,1,0,17.5,0.5,Bending2
40000,30,0,2.33,0.47,17.67,0.47,Bending2
40250,30,0,2.5,0.5,17.5,0.5,Bending2
40500,30,0,2,0.71,17.5,0.5,Bending2
40750,30,0,2,0.82,17.25,0.43,Bending2
41000,30,0,4,0,16.75,1.3,Bending2
41250,30,0,4,0,16.75,0.83,Bending2
41500,30,0,3,0,17.33,0.47,Bending2
41750,30,0,4.5,0.5,16.8,0.75,Bending2
42000,30,0,2.75,0.43,17.25,0.83,Bending2
42250,30,0,1.25,0.43,17,1,Bending2
42500,30,0,2,0,16.5,0.5,Bending2
42750,30,0,2.5,0.5,16,1,Bending2
43000,30,0,2,0,16.33,0.47,Bending2
43250,30,0,2.67,0.47,16.67,0.94,Bending2
43500,30,0,2.5,0.5,16,0.82,Bending2
43750,30,0,3,1.22,16,0.71,Bending2
44000,30,0,2,0,16.75,0.83,Bending2
44250,30,0,3,1.58,16.75,1.09,Bending2
44500,30,0,4.5,0.87,16.25,0.83,Bending2
44750,30,0,6,0,16,0.82,Bending2
45000,30,0,6.5,0.5,15.67,0.94,Bending2
45250,30,0,7,0,16,1,Bending2
45500,30,0,7.33,0.47,15.5,0.5,Bending2
45750,30,0,7,0,16,0.82,Bending2
46000,30,0,7,0,15.5,0.5,Bending2
46250,30,0,7.6,0.49,14.75,0.43,Bending2
46500,30,0,7.33,0.47,15.67,0.47,Bending2
46750,30,0,7.33,0.47,15,0.71,Bending2
47000,30,0,7.33,0.47,15.5,0.5,Bending2
47250,30,0,7.33,0.47,15.5,0.5,Bending2
47500,30,0,6.5,0.5,15.67,0.47,Bending2
47750,30,0,6.33,0.47,15.5,0.5,Bending2
48000,30,0,6.5,0.5,15.5,0.5,Bending2
48250,30,0,6.33,0.47,15.33,0.47,Bending2
