# Task: bending2,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,34.5,1.5,8,1.58,28,0.71,Bending2
250,36,0,11.25,3.49,28.5,0.5,Bending2
500,36,0,20,1.22,27,0.71,Bending2
750,38.25,0.43,21.25,0.43,26,0.71,Bending2
1000,37.5,1.12,22,0.82,23.67,2.49,Bending2
1250,37,1,17.75,0.43,24.5,0.87,Bending2
1500,37.33,0.94,16.75,2.17,25.33,1.25,Bending2
1750,37.67,0.94,16.67,0.94,23,1,Bending2
2000,36.67,0.47,17.33,0.47,20.75,1.64,Bending2
2250,39.75,0.83,18.75,1.09,18.5,2.5,Bending2
2500,40,1.22,16,3.08,22,1.22,Bending2
2750,39,0,15.75,2.59,24,0,Bending2
3000,38.75,0.43,14.25,1.92,24,0,Bending2
3250,39,0,14.67,1.25,26,0.82,Bending2
3500,39,0,18,0,24.25,0.43,Bending2
3750,39.5,0.5,18.75,1.48,20.75,0.43,Bending2
4000,40,0.71,18,0,23.75,0.83,Bending2
4250,40.67,0.47,18.5,0.5,24,0,Bending2
4500,40.33,0.94,16,1.63,22.75,0.83,Bending2
4750,42,0,16.25,1.3,26,1,Bending2
5000,42,0,13.5,1.12,28,1.22,Bending2
5250,41.75,0.43,14,1,29.75,0.43,Bending2
5500,41.75,0.43,18.25,0.83,29.75,0.43,Bending2
5750,42,0,20.33,0.47,30.67,0.47,Bending2
6000,41.67,0.47,20.5,0.5,30.33,0.47,Bending2
6250,41.67,0.47,19.75,1.79,30,0,Bending2
6500,41,0.82,23,0.71,30.33,0.47,Bending2
6750,38.75,0.43,22.25,0.43,29.5,0.5,Bending2
7000,38.33,0.47,23,0.82,28.75,1.09,Bending2
7250,38.25,0.83,24,0,25.25,1.09,Bending2
7500,38.5,0.87,24,0,26.75,0.43,Bending2
7750,39.25,0.43,24.25,0.43,28.25,0.83,Bending2
8000,38.5,0.5,23.5,0.87,29,0.71,Bending2
8250,38.75,0.43,22.5,1.12,30,0.71,Bending2
8500,39,0,20,1.41,29.67,0.47,Bending2
8750,40,1,22,1,28.25,1.79,Bending2
9000,41.5,0.5,24,0,30,0,Bending2
9250,40.75,0.83,24,0,28.75,0.83,Bending2
9500,40.5,0.5,24,0,27.25,0.43,Bending2
9750,40.67,0.47,24,0,28.67,0.47,Bending2
10000,39.8,0.75,24,0,28,0.63,Bending2
10250,39.67,0.47,23.75,0.43,28.33,0.47,Bending2
10500,39.75,0.83,23.5,0.5,29.25,0.83,Bending2
10750,40.75,0.83,24,0,30,0,Bending2
11000,40.33,0.47,24,0,29.25,0.83,Bending2
11250,40.83,0.69,22,0.71,29.25,0.43,Bending2
11500,41,0.82,21.25,0.43,29.33,0.47,Bending2
11750,40.75,0.83,21.5,0.5,30,0,Bending2
12000,41.25,0.83,21.25,1.09,30,0,Bending2
12250,41.33,0.47,19.67,0.47,30,0,Bending2
12500,41.5,0.5,20.5,0.87,30,0,Bending2
12750,41.5,0.5,22.5,1.12,30,0,Bending2
13000,41,1,23.75,0.43,29.75,0.43,Bending2
13250,40,1,23.75,0.43,27.75,0.83,Bending2
13500,40.25,0.83,24,0,29.25,0.83,Bending2
13750,39.5,0.5,24,0,28.25,0.43,Bending2
14000,39.5,0.5,24,0,27,0,Bending2
14250,39.5,0.5,24.25,0.43,26.5,0.5,Bending2
14500,39,0,24,0,26.25,0.83,Bending2
14750,39.33,0.47,24,0,26,0.82,Bending2
15000,38.67,0.47,24,0,27,0,Bending2
15250,38.75,0.43,24,0,27.25,0.43,Bending2
15500,40,0.71,24,0,29.5,0.5,Bending2
15750,40,0.82,24,0,29.5,0.5,Bending2
16000,39.75,0.83,24,0,29.75,0.43,Bending2
16250,40.5,0.5,24,0,29,0,Bending2
16500,41,1,24,0,29.5,0.5,Bending2
16750,40,1,24,0,29,0.82,Bending2
17000,39.25,0.43,24,0,27.5,0.5,Bending2
17250,40,0.71,24,0,27,0,Bending2
17500,41.25,0.83,24.25,0.43,29,1,Bending2
17750,40.25,0.83,24,0,28,1,Bending2
18000,39.75,0.83,24.33,0.47,26.25,0.83,Bending2
18250,39.67,0.47,24,0,26,0,Bending2
18500,40.5,0.5,24,0,26.25,0.83,Bending2
18750,40.5,1.12,24,0,24.25,0.43,Bending2
19000,40.67,0.47,22.33,0.94,23.75,0.43,Bending2
19250,41,1.22,20.75,0.43,22.5,0.87,Bending2
19500,40,1,21.5,0.5,23.25,1.3,Bending2
19750,39.33,0.47,23.67,0.47,24.25,0.43,Bending2
20000,38.5,0.5,24,0,21.5,0.5,Bending2
20250,37.5,1.26,24,0,20.2,1.17,Bending2
20500,35,1.58,24,0,19.25,0.83,Bending2
20750,33,0,24,0,19,0.82,Bending2
21000,33.75,1.3,22.25,0.43,18,0.71,Bending2
21250,34,1.41,21.33,0.47,22,1.22,Bending2
21500,35.25,1.3,20.5,0.87,22.75,0.83,Bending2
21750,35.25,1.3,22.5,1.66,22,1.58,Bending2
22000,36,0,23.25,0.43,21.75,2.28,Bending2
22250,36,0,21,1.41,22.25,2.05,Bending2
22500,34.5,1.5,20,1,14.25,2.49,Bending2
22750,34.5,1.5,18,0,16.5,1.5,Bending2
23000,35.5,0.87,20.5,1.5,13,3.74,Bending2
23250,35,1.22,23.67,0.47,11.67,3.3,Bending2
23500,33,0,19.5,1.66,22,2.12,Bending2
23750,35,1.41,21,1.87,24,0,Bending2
24000,37.75,1.09,24,0,26.25,0.83,Bending2
