# Task: cycling,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,40.25,1.48,15.5,3.91,20,1.22,Cycling
250,42.25,0.43,15.33,2.49,16,1.63,Cycling
500,35.25,4.44,14,4.32,17.25,4.82,Cycling
750,33.75,2.49,19.5,2.06,18.25,1.79,Cycling
1000,35,3.16,18.75,5.67,15,2.12,Cycling
1250,31,2,14.67,2.05,18.33,2.87,Cycling
1500,39.25,0.43,13,3.81,18.5,3.35,Cycling
1750,42.5,1.12,13.67,2.87,19,1.22,Cycling
2000,38.33,4.5,10.67,2.05,14.75,2.49,Cycling
2250,34.25,3.03,19.75,1.64,18.5,1.8,Cycling
2500,35,2.74,18.5,0.87,11.25,5.36,Cycling
2750,32.25,5.26,12.75,5.76,17,3.54,Cycling
3000,38.67,2.49,15,2.16,19,2.12,Cycling
3250,42.5,1.8,12,4.32,18,5.79,Cycling
3500,34.25,5.21,16.25,4.44,17,1.22,Cycling
3750,36.25,0.43,19.75,1.3,11.75,1.09,Cycling
4000,36.75,2.49,16.5,1.5,10.75,3.49,Cycling
4250,33.5,4.5,12.67,4.11,15.33,4.5,Cycling
4500,40.5,1.12,12.5,4.82,18.5,2.18,Cycling
4750,42.25,0.83,11.5,1.5,13.75,6.61,Cycling
5000,35.75,2.95,19,1,20,2,Cycling
5250,35.33,0.94,18.5,0.5,16.33,0.94,Cycling
5500,34.33,3.4,18,2.16,13,1.87,Cycling
5750,30,4.24,15.5,2.5,20,0.82,Cycling
6000,38.75,2.17,13.5,5.02,19.25,1.48,Cycling
6250,42.75,0.43,12.25,2.68,18.25,1.92,Cycling
6500,38.75,5.63,12,1.41,8.75,3.63,Cycling
6750,34.5,1.5,21,3,19,1.41,Cycling
7000,32.25,4.44,18.5,5.94,14.25,2.38,Cycling
7250,34.67,3.09,16.75,3.03,16.5,1.5,Cycling
7500,41.5,1.5,15.5,2.5,18.33,0.47,Cycling
7750,42.5,0.87,11.33,4.5,8,4.55,Cycling
8000,35,4.06,9.75,3.96,13.75,8.26,Cycling
8250,34,1.41,19.5,2.06,19.33,1.25,Cycling
8500,34,2.83,18,3.74,15.5,2.18,Cycling
8750,34.5,4.5,12,0,15.33,2.49,Cycling
9000,40.25,1.3,13.5,3.35,14.25,0.83,Cycling
9250,43.25,1.3,13.5,5.41,17.75,1.64,Cycling
9500,38.75,4.09,12.25,2.95,20,3.94,Cycling
9750,33.75,1.3,13.25,2.17,17.5,3.84,Cycling
10000,35.25,2.49,16,6.12,12.5,2.87,Cycling
10250,32,3.74,7,4.32,16,1,Cycling
10500,38.75,2.05,14,2.83,13,1.41,Cycling
10750,41.5,1.8,17.5,2.06,16.67,1.25,Cycling
11000,41,2.24,11.75,6.14,19.25,2.38,Cycling
