# Task: lying,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,39.67,0.47,6,0.82,16,1,Lying
250,39.5,0.5,4.5,1.12,17.75,0.43,Lying
500,39.67,0.47,4.5,1.12,18.33,0.47,Lying
750,39.5,0.5,4.5,2.06,17.5,0.5,Lying
1000,39.33,0.47,5.33,0.47,17,0.71,Lying
1250,39.5,0.5,5,2,15,0,Lying
1500,39.67,0.47,4.67,2.62,16.67,1.25,Lying
1750,39.67,0.47,7.5,1.8,16.67,1.25,Lying
2000,39.25,0.43,9,0,17,0.71,Lying
2250,39.5,0.5,8,0.82,14.75,0.43,Lying
2500,39.33,0.47,6.5,3.04,16.33,1.25,Lying
2750,39.25,0.43,8,0.82,15.33,0.47,Lying
3000,39.67,0.47,6.5,1.12,17,1.41,Lying
3250,39.5,0.5,3.5,0.5,16,1,Lying
3500,39.5,0.5,4.5,2.5,14.33,0.94,Lying
3750,39.25,0.43,4.33,1.25,16.25,1.64,Lying
4000,39,0,2,0,18.25,1.09,Lying
4250,39.5,0.5,4.5,1.5,16.5,0.87,Lying
4500,39.25,0.43,4.75,1.79,17,1.22,Lying
4750,39.67,0.47,1.67,0.94,15.67,1.25,Lying
5000,39.5,0.5,3,0,15.5,2.29,Lying
5250,39.5,0.5,8.75,0.83,12.5,1.12,Lying
5500,39.5,0.5,4.67,3.3,13.75,1.09,Lying
5750,39.25,0.43,6,3.27,11.25,0.43,Lying
6000,39.25,0.43,13.67,1.25,8.33,0.94,Lying
6250,39.5,0.5,13.67,0.94,9.5,0.5,Lying
6500,39.33,0.47,14.75,0.43,5,1,Lying
6750,40.67,1.25,13.33,1.25,5.67,1.7,Lying
7000,41.75,0.43,12,0,7.25,0.43,Lying
7250,47.5,4.33,12.75,1.3,9.75,1.48,Lying
7500,56.25,0.83,18.25,0.83,13.5,1.5,Lying
7750,51.75,2.17,15.67,3.3,12.33,1.89,Lying
