# Task: sitting,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,45,0,4.33,0.94,10.75,2.17,Sitting
250,45,0,1,0,12.33,1.25,Sitting
500,45,0,2.5,0.5,14.5,1.12,Sitting
750,45,0,3,0,14.5,1.12,Sitting
1000,45,0,3,0.82,15.25,0.43,Sitting
1250,45,0,2.5,0.5,15.5,0.5,Sitting
1500,45,0,3.67,0.47,15,0,Sitting
1750,45,0,2,0,15.75,0.83,Sitting
2000,45,0,3,0,15.5,1.12,Sitting
2250,45,0,2.67,0.47,16,1.41,Sitting
2500,45,0,3,0,15,0,Sitting
2750,45,0,3.33,0.47,15,0,Sitting
3000,45,0,5,0.82,15,0,Sitting
3250,45,0,4.5,0.5,15.67,0.94,Sitting
3500,45,0,2,0,15,0,Sitting
3750,45,0,2.75,0.83,15,1.22,Sitting
4000,45,0,5.67,2.05,15.25,1.09,Sitting
4250,45,0,13,0.71,16,1.22,Sitting
4500,45,0,14,1.22,18.75,0.83,Sitting
4750,45,0,14.25,0.43,19,1.22,Sitting
5000,45,0,14,0.71,18.5,0.5,Sitting
5250,45,0,16.67,0.47,18,0,Sitting
5500,45,0,17.75,0.43,18.33,0.47,Sitting
5750,45,0,18.25,0.43,18.6,0.8,Sitting
6000,45,0,18,0,19.33,0.47,Sitting
6250,45,0,16.5,0.5,19.25,1.3,Sitting
6500,45,0,15,0,20.25,0.83,Sitting
6750,45,0,14.75,0.43,20.75,0.43,Sitting
7000,45,0,15,0,19.75,0.83,Sitting
7250,45,0,15.75,0.83,19,1.22,Sitting
7500,45,0,16.5,0.87,19,0.71,Sitting
7750,45,0,14.25,1.3,19.25,0.83,Sitting
8000,45,0,14.25,1.3,19.75,1.09,Sitting
8250,45,0,12.67,0.94,18.67,0.47,Sitting
8500,45,0,13,0.71,19,0.71,Sitting
8750,45,0,13.25,0.43,18,0,Sitting
9000,45,0,13,0,18.67,0.47,Sitting
9250,45,0,13,1,18.5,0.5,Sitting
9500,45,0,13,0.71,18.25,0.43,Sitting
9750,45,0,13,0.82,17.75,0.43,Sitting
10000,45,0,11,0.82,18.5,0.5,Sitting
10250,45,0,9,0.71,17.75,0.43,Sitting
10500,45,0,8,1.22,18,0,Sitting
10750,45,0,7,0.82,18,0,Sitting
11000,45,0,9.5,0.87,17.5,0.5,Sitting
11250,45,0,9,1.22,17.25,0.83,Sitting
11500,45,0,9.67,1.25,17.33,0.47,Sitting
11750,45,0,8.5,0.5,18,0,Sitting
12000,45,0,8,1,16.75,0.43,Sitting
12250,45,0,2.33,1.25,17.75,0.43,Sitting
12500,45,0,7.67,0.94,17,0.71,Sitting
12750,45,0,11.75,0.83,14.5,0.5,Sitting
13000,45,0,12.67,0.47,12.5,0.5,Sitting
13250,45,0,13.75,1.09,14,1.41,Sitting
13500,45,0,15,0.71,15,0,Sitting
13750,45,0,15,0.71,14.75,0.43,Sitting
14000,45,0,14.75,0.43,13,1,Sitting
14250,45,0,14.5,0.87,14,1,Sitting
14500,45,0,14,0.71,14,1.22,Sitting
14750,45,0,14.5,0.87,14.5,0.87,Sitting
15000,45,0,12.5,1.12,13.33,0.94,Sitting
15250,45,0,12.33,0.47,13,1.22,Sitting
15500,45,0,13.5,0.87,14.75,0.83,Sitting
15750,45,0,13.75,1.3,15.75,0.83,Sitting
16000,45,0,13,0.71,14.25,1.3,Sitting
16250,45,0,12.75,0.83,13.75,1.3,Sitting
16500,45,0,12.25,1.09,14.5,0.87,Sitting
16750,45,0,14,1,9.75,1.48,Sitting
17000,45,0,12,0.71,7.67,3.4,Sitting
17250,45,0,13.33,0.94,10.67,0.94,Sitting
17500,45,0,16,1.22,14.25,1.3,Sitting
17750,45,0,16.5,1.5,16.33,1.7,Sitting
18000,45,0,13.67,1.7,13,1,Sitting
18250,45,0,12.6,0.49,13.25,1.3,Sitting
18500,45,0,10,2.83,12.25,1.79,Sitting
18750,45.25,0.43,12.75,1.48,10.75,1.3,Sitting
19000,45,0,14.75,1.79,12,2.12,Sitting
19250,45,0,14,1.22,12,0,Sitting
19500,45,0,12,2.83,13,1.41,Sitting
19750,45,0,13.75,0.43,14.75,1.09,Sitting
20000,45,0,14,1.22,15.5,0.5,Sitting
20250,45,0,15.5,0.5,15.5,0.5,Sitting
20500,45,0,11.67,0.47,15,0,Sitting
20750,45,0,11.25,0.83,15,0,Sitting
21000,45,0,9.5,1.5,16.33,1.25,Sitting
21250,45,0,10.67,1.7,15.75,1.3,Sitting
21500,45,0,11,1.73,13.25,1.09,Sitting
21750,45,0,8,2.55,13.25,1.3,Sitting
22000,45,0,9.5,3.2,12.5,0.87,Sitting
22250,45,0,9,1.87,11.25,1.3,Sitting
22500,45,0,11,0.71,11.75,0.43,Sitting
22750,45.25,0.43,5.75,2.17,9.75,0.43,Sitting
23000,45,0,5.5,0.5,10.5,1.5,Sitting
23250,45,0,6.2,0.75,11,1.1,Sitting
23500,45,0,4.67,1.25,10,0,Sitting
23750,45,0,4,0.82,9,0,Sitting
24000,45,0,4.25,1.64,9.5,0.5,Sitting
24250,45,0,7,0,6.75,1.92,Sitting
24500,45,0,8.67,1.25,5.5,0.5,Sitting
24750,45,0,12.5,0.87,7.25,2.17,Sitting
25000,45,0,15.25,0.83,12,2.45,Sitting
25250,45,0,10.5,1.5,14,1.22,Sitting
25500,45,0,7.25,0.83,14,1.22,Sitting
25750,45,0,12.33,0.47,12.33,0.47,Sitting
26000,45,0,9,1,13,1.22,Sitting
26250,45,0,4.5,3.5,13.75,1.09,Sitting
26500,45,0,11.5,1.5,11,0.82,Sitting
26750,45,0,7.67,4.78,10,1.22,Sitting
27000,45,0,11.5,4.39,12.5,0.5,Sitting
27250,45,0,11,1.58,12,0,Sitting
27500,45,0,13.5,1.12,13,1.22,Sitting
27750,45,0,15.75,0.43,12.25,0.43,Sitting
28000,45.75,0.83,15.5,1.8,9.67,0.94,Sitting
28250,39,12.19,16,2.12,14,4.53,Sitting
28500,29.25,1.48,17.25,2.49,17,3.24,Sitting
28750,25.67,0.47,21,0,21,0.82,Sitting
29000,30.5,4.5,23,2.55,27,2.55,Sitting
29250,29.67,4.03,17.25,4.44,14.33,0.94,Sitting
29500,40.67,2.36,24,0,18.5,6.26,Sitting
29750,42,0.82,17,2.94,14,1.22,Sitting
30000,39.5,0.87,14.75,1.48,17,1.22,Sitting
30250,38.75,0.43,12.5,5.12,13.75,4.02,Sitting
30500,40.25,0.83,19.25,1.48,18,1.41,Sitting
30750,42,0,18,2.12,17.5,1.5,Sitting
31000,42,0,16.5,1.12,21,0.71,Sitting
31250,43.25,1.3,13.5,0.87,20.75,0.43,Sitting
31500,42.5,0.5,14.67,0.47,21.67,1.25,Sitting
31750,42.25,0.43,18,0.71,23.25,0.43,Sitting
32000,42.33,0.47,17,0.71,22.33,0.47,Sitting
32250,42.75,0.43,15.25,0.43,21,0,Sitting
32500,42.5,0.5,15.75,0.43,19.5,0.5,Sitting
32750,42.5,0.5,16.25,1.79,18.75,1.3,Sitting
33000,42.5,0.5,18.5,0.5,18.75,3.34,Sitting
33250,42.33,0.47,16,0,20,0.71,Sitting
33500,42.33,0.47,15.33,0.47,18.25,0.43,Sitting
33750,42.25,0.43,14.25,0.43,18,0,Sitting
34000,41.75,0.43,16,0.71,18,0,Sitting
34250,40.75,1.09,12.5,2.96,15.75,1.48,Sitting
34500,39.75,0.83,8.75,2.38,16,1.41,Sitting
34750,41.75,0.43,13.75,1.09,19.5,1.12,Sitting
35000,42.25,1.09,17,0.82,18.67,0.94,Sitting
35250,43.75,1.3,15.25,0.83,21,0,Sitting
35500,44.33,0.94,13.5,1.12,20.33,0.94,Sitting
35750,41.67,1.7,5,4,13.33,1.7,Sitting
36000,32.75,0.43,13.25,1.79,16.75,3.19,Sitting
36250,31.5,0.5,14.25,4.82,19.75,1.09,Sitting
36500,30,0,15.75,2.49,16.5,1.5,Sitting
36750,28.25,0.43,17.75,0.83,10.5,2.6,Sitting
37000,28,1,16.5,1.12,14,1,Sitting
37250,30,0,21,0,16.5,1.5,Sitting
37500,31.25,1.3,19.75,0.83,14.5,2.18,Sitting
37750,32.25,0.83,20.75,0.43,17,1.22,Sitting
38000,31.25,0.43,21,0,15.25,1.09,Sitting
38250,31.25,0.43,21,0,19,1.58,Sitting
38500,33,0,21,0,19,0.71,Sitting
38750,38.75,3.49,19.25,1.3,18.75,0.83,Sitting
39000,34,4.18,21.33,0.47,17.67,0.47,Sitting
39250,32.5,0.5,21.25,0.43,18,0,Sitting
39500,32.75,0.43,21,0,17.75,0.43,Sitting
39750,32.67,0.47,21,0,18,0,Sitting
40000,32.5,0.5,20.75,0.43,17.25,0.83,Sitting
40250,32.5,0.5,21,0,17.5,0.87,Sitting
40500,32.33,0.47,21,0,17.75,0.43,Sitting
40750,32.5,0.5,20.75,0.43,17,0.82,Sitting
41000,32.5,0.5,21,0,17.25,0.83,Sitting
41250,32.5,0.5,20.75,0.43,18.75,0.83,Sitting
41500,32.5,0.5,21,0,17.75,0.43,Sitting
41750,32.5,0.5,21,0,18,0,Sitting
42000,32.25,0.43,21,0,17.5,0.5,Sitting
42250,32.25,0.43,21,0,16.33,1.25,Sitting
42500,32,0,20.75,0.43,16.5,0.5,Sitting
42750,32.67,0.47,21,0,17,0.82,Sitting
43000,31.67,0.47,21,0,17.25,0.83,Sitting
43250,31.75,0.43,21,0,16.75,1.09,Sitting
43500,32.25,0.43,21,0,16.75,0.83,Sitting
43750,33,0,21,0,16.5,1.12,Sitting
44000,33,0,21,0,17.75,0.43,Sitting
44250,33,0,21,0,17.75,0.43,Sitting
44500,33,0,20.75,0.43,19,0.71,Sitting
44750,33,0,20.75,0.43,18,0,Sitting
45000,33,0,21,0,16.67,0.47,Sitting
45250,33,0,21,0,18,0,Sitting
45500,32.75,0.43,21.25,0.43,17,0.82,Sitting
45750,33,0,21,0,16.67,1.25,Sitting
46000,33,0,20.5,0.87,19,1,Sitting
46250,32.67,0.47,18.67,0.47,18.5,0.87,Sitting
46500,32.5,0.5,20.5,0.87,18.25,0.43,Sitting
46750,32.75,0.43,20.75,0.43,18.25,0.43,Sitting
47000,33,0,21,0,18,0,Sitting
47250,33,0,21,0,18,0.71,Sitting
47500,33,0,20.75,0.43,18,2.12,Sitting
47750,32.5,0.5,21,0,19.25,1.09,Sitting
48000,32.25,0.43,21,0,18,0,Sitting
48250,32.5,0.5,20.25,0.43,18.25,0.43,Sitting
48500,33,0,20.67,0.47,18.33,0.47,Sitting
48750,33,0,21,0,18.25,0.43,Sitting
49000,33,0,20.75,0.43,18,0,Sitting
49250,33,0,21,0,18,0,Sitting
49500,33,0,21,0,18,0.71,Sitting
49750,33,0,20.5,0.5,18.25,0.43,Sitting
50000,33,0,20.25,0.43,18,0,Sitting
50250,33,0,19.75,0.43,18,0,Sitting
50500,33,0,20,0.71,17.75,0.43,Sitting
50750,33,0,21,0,19.25,0.83,Sitting
51000,33,0,21,0,17.75,0.43,Sitting
51250,33,0,21,0,17.75,0.43,Sitting
51500,33,0,21,0,17.67,0.47,Sitting
51750,32.75,0.43,21,0,18,0,Sitting
52000,31.75,0.83,21.25,0.43,18,0,Sitting
52250,32.33,0.47,21,0,18.67,0.94,Sitting
52500,32.75,0.43,19.5,1.5,14,2.12,Sitting
52750,33.75,1.3,15.75,2.49,12.33,1.25,Sitting
53000,36.5,0.87,13.75,0.83,12,0,Sitting
53250,38,0.82,12.5,0.5,14.67,2.05,Sitting
53500,38.5,0.5,10,1.58,13.67,1.25,Sitting
53750,38.25,0.83,8,2.94,11.25,2.28,Sitting
54000,38,1,7.5,1.5,16.5,1.12,Sitting
54250,38,1,6,1.41,17.25,0.83,Sitting
54500,38,1,3,0,17.67,0.47,Sitting
54750,38,1,4.75,0.43,17.5,0.5,Sitting
55000,38.25,0.83,5.67,1.7,18,0,Sitting
55250,38.33,0.94,6.5,1.12,18,0,Sitting
55500,38.25,0.83,5,0.71,18.5,0.5,Sitting
55750,38,1,7,0.71,18.25,0.43,Sitting
56000,38,1,7.75,0.83,18.75,0.83,Sitting
56250,37.67,0.94,9,0,19,1,Sitting
56500,38,1,9.5,0.5,19.5,1.12,Sitting
56750,38,1,9.25,0.43,19.5,0.5,Sitting
57000,38,1,9.25,0.43,19.75,0.83,Sitting
57250,38,1,9.25,0.43,19.5,0.5,Sitting
57500,38,1,10,0.82,19.75,0.83,Sitting
57750,38,1,11.67,0.47,20.67,0.47,Sitting
58000,38.25,0.83,9.5,0.87,20.25,0.83,Sitting
58250,38.33,0.94,7.25,0.43,18.67,0.47,Sitting
58500,38,1,6,0.82,18,0,Sitting
58750,37.67,0.94,5,0.82,18,0,Sitting
59000,38,1,7,0.71,18,0,Sitting
59250,38,1,7.5,0.5,18,0,Sitting
59500,38,1,8,0.82,18,0,Sitting
59750,38,1,7.25,0.43,18,0,Sitting
60000,38,1,7,0,18,0,Sitting
60250,38,1,6.75,0.83,18,0,Sitting
60500,38,1,5.75,0.83,18.25,0.43,Sitting
60750,38,1,4.75,0.83,18.5,0.5,Sitting
61000,38,1,5,0.82,18.25,0.43,Sitting
61250,38,1,5.5,0.5,18,0,Sitting
61500,38.33,0.94,7.25,0.43,18,0,Sitting
61750,37.67,0.94,8,0,17.75,0.43,Sitting
62000,38.25,0.83,7,0.82,18,0,Sitting
62250,38,1,7,0.71,18.25,0.43,Sitting
62500,38,1,7.5,0.5,18,0,Sitting
62750,38,1,8,0,18.25,0.43,Sitting
63000,38,1,7.5,0.5,17,1,Sitting
63250,38,1,8.25,0.43,15.25,0.43,Sitting
63500,38.25,0.83,8.5,0.5,14.75,0.43,Sitting
63750,38,1,9,0,15.75,0.43,Sitting
64000,38,1,9,0,16,0.71,Sitting
64250,38,1,8.25,0.43,17.25,0.83,Sitting
