# Task: standing,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,44.5,0.5,15,0.71,9.25,0.43,Standing
250,44.75,0.43,13,0.71,11.25,0.83,Standing
500,41.33,0.94,15.33,0.47,11,1.22,Standing
750,39.5,0.87,16.75,1.09,10,1.58,Standing
1000,39.25,0.43,15.75,2.49,15.25,2.17,Standing
1250,39,0,16.75,2.59,15,2.12,Standing
1500,39.5,0.5,21.25,1.09,15.75,3.27,Standing
1750,38.5,0.87,24,0,22,0.71,Standing
2000,37,1,24,0,21,0,Standing
2250,37.5,0.5,21.25,0.43,18.75,2.49,Standing
2500,37.67,1.25,18.5,1.5,7.33,4.11,Standing
2750,37,1,19.75,0.83,9.25,3.9,Standing
3000,36.67,0.94,17,1.41,11,1.63,Standing
3250,37,1,15.33,0.47,13.67,0.94,Standing
3500,37,1,14.67,0.47,12.67,0.47,Standing
3750,37.25,0.83,16,1.22,10,0.71,Standing
4000,38,1,17.75,0.43,6,3.08,Standing
4250,38,1,17.25,0.83,6,0,Standing
4500,38.25,0.83,18,0,5.67,1.7,Standing
4750,36.67,0.94,18,0,7.33,1.25,Standing
5000,36.75,0.83,17.6,1.02,11.2,0.75,Standing
5250,36.75,0.83,17,0.82,11.33,0.47,Standing
5500,38.5,0.5,17.6,0.49,7.8,1.6,Standing
5750,40.25,1.3,16.5,0.87,6.75,2.28,Standing
6000,41.25,1.3,16.25,0.43,9,0.71,Standing
6250,38,1,15.5,0.5,4.5,1.5,Standing
6500,37.67,1.25,17.25,0.83,2,0,Standing
6750,37,1,16.25,1.3,4.25,1.79,Standing
7000,37.25,0.83,15.25,0.43,5.5,0.5,Standing
7250,37.5,1.12,13.5,1.5,3,1.87,Standing
7500,37.33,0.47,13.33,0.94,5.67,2.05,Standing
7750,37.25,0.83,14.5,0.87,7.75,1.09,Standing
8000,37,1,16.25,0.83,6.5,0.5,Standing
8250,38.25,0.83,14,0.82,8.33,1.7,Standing
8500,38.5,0.5,15,0.71,5.75,1.3,Standing
8750,38.75,0.43,15.75,0.83,6,0,Standing
9000,39,0,14.5,0.87,9,0,Standing
9250,39.5,0.5,11.5,0.87,9.25,0.43,Standing
9500,38,1,12,0,9.67,0.47,Standing
9750,37.75,0.83,14.75,2.28,8.25,2.38,Standing
10000,37.67,1.25,17.75,0.43,5,2.83,Standing
10250,38,1,17.5,0.5,2.25,1.09,Standing
10500,40,1.58,17,0.71,8,2.35,Standing
10750,42.67,0.47,17.67,0.47,10.5,1.12,Standing
11000,42.25,0.43,18,0,11.25,0.83,Standing
11250,42,0,17.75,0.43,10,0.71,Standing
11500,42,0,17.5,0.87,11.5,0.5,Standing
11750,42,0,15.75,0.83,11,0.71,Standing
12000,42.75,0.83,15.25,0.43,11,1.87,Standing
12250,42.25,0.43,14.25,0.83,12,0,Standing
12500,42,0,15,0,7.33,1.89,Standing
12750,41.5,0.5,14,0.71,3,0,Standing
13000,41.67,0.47,14.25,0.83,11,1.63,Standing
13250,41.5,0.5,16.25,0.83,9.75,1.79,Standing
13500,42.75,0.83,14.67,0.47,9.33,1.25,Standing
13750,42.33,0.47,17.67,0.47,10,1.22,Standing
14000,42.25,0.43,15.75,0.83,7.25,1.09,Standing
14250,42.25,0.43,14.25,0.43,7.5,2.18,Standing
14500,42,0,12.5,0.5,8.5,0.87,Standing
14750,42,0,15,1.22,8.5,0.87,Standing
15000,42,0,15.5,0.5,7.75,1.09,Standing
15250,42.25,0.43,16,1.22,9,2.55,Standing
15500,42,0,12.67,0.94,10.33,0.94,Standing
15750,42,0,10.67,1.25,11,1.41,Standing
16000,42.5,0.5,11.25,0.83,11.75,1.79,Standing
16250,43.67,0.47,13.75,0.83,10,0.82,Standing
16500,41.75,0.43,16.25,0.43,9.25,1.09,Standing
16750,40.5,0.5,17.25,0.83,7,1,Standing
17000,40,0.82,16.67,0.94,8.25,1.48,Standing
17250,40.25,0.83,15.5,0.87,9.25,0.43,Standing
17500,41,0.71,15.5,0.87,9.25,0.43,Standing
17750,41.5,0.5,15.25,0.43,9.75,1.09,Standing
18000,42,0,17.5,0.87,7.75,2.28,Standing
18250,41.5,0.5,16.25,1.3,4.67,1.7,Standing
18500,41.75,0.43,13,1.41,10,1.63,Standing
18750,41.67,0.47,11.25,0.83,9,0.82,Standing
19000,41.25,0.83,11.5,0.5,8,0,Standing
19250,41.5,0.5,12,0.71,7.25,1.3,Standing
19500,41,0.82,14.67,1.25,8.25,1.3,Standing
19750,41.5,0.5,17.25,0.83,7.5,0.87,Standing
20000,41.75,0.43,18,0,11.25,1.3,Standing
20250,42,0,17,1,9.75,1.3,Standing
20500,42,0,16.25,0.83,10,1,Standing
20750,42,0,14.75,0.43,9.75,0.83,Standing
21000,42,0,15,0,10,1,Standing
21250,42,0,15,0,11.5,1.12,Standing
21500,42.25,0.43,16.67,0.47,12.67,0.94,Standing
21750,42,0,17.6,0.49,12.4,0.8,Standing
22000,41.75,0.43,18,0,12,0.82,Standing
22250,41.5,0.5,15.75,1.3,12,0.71,Standing
22500,41.5,0.5,14.5,0.5,9.5,0.87,Standing
22750,41.67,0.47,14,1.22,9.33,0.47,Standing
23000,41.5,0.5,13.25,1.3,11.5,1.8,Standing
23250,40,0.71,12,0,12,0,Standing
23500,38,1.41,15.67,1.7,10.25,2.49,Standing
23750,36.75,0.83,17.5,0.5,4.67,1.7,Standing
24000,37,1,17,0.71,10,0,Standing
24250,37,1,15.25,1.09,5,1.63,Standing
24500,37,1,15,0,4,1,Standing
24750,38.25,0.83,15.25,0.43,6,1.41,Standing
25000,41,1.22,17.25,0.83,9.25,0.43,Standing
25250,43.25,0.43,19,0.71,12.75,0.83,Standing
25500,44,0.82,19.5,0.5,13.67,1.25,Standing
25750,44.25,0.43,18.25,0.43,14.5,0.5,Standing
26000,44.5,0.5,19.25,0.83,12.75,0.83,Standing
26250,44,0.82,18.67,0.94,11.75,0.43,Standing
26500,43.5,0.5,18.25,0.43,8,1.58,Standing
26750,43,0.71,18,0,5,1.58,Standing
27000,42.5,0.5,17.75,0.43,7.25,1.09,Standing
27250,42.75,0.43,18.75,0.83,6.25,1.64,Standing
27500,44.25,0.83,18,0,11,1.41,Standing
27750,44.75,0.43,18.25,0.43,12.25,0.43,Standing
28000,45,0,17.5,0.5,11.75,0.43,Standing
28250,45,0,18,0,11,1.22,Standing
28500,45,0,18,0,11.67,0.47,Standing
28750,44.75,0.43,18.33,0.47,12.33,0.47,Standing
29000,44.5,0.5,17.25,0.83,8.25,1.48,Standing
29250,45,0,16,0.82,7,0,Standing
29500,44.5,0.5,16.25,0.83,7.5,1.5,Standing
29750,45,0,16.5,1.12,8.25,0.43,Standing
30000,45,0,18,0,9.25,0.83,Standing
30250,45,0,18,0,10.75,1.79,Standing
30500,44.75,0.43,18,0,12,0,Standing
30750,45,0,18.75,0.83,10.75,0.83,Standing
31000,45,0,18,0,10.75,1.3,Standing
31250,45,0,18.5,0.5,12,0,Standing
31500,44.75,0.43,18,0,11.33,0.47,Standing
31750,45,0,18,0,10,0.71,Standing
32000,44.67,0.47,18,0,8.33,0.43,Standing
32250,45,0,17.75,0.43,10,0.82,Standing
32500,44.75,0.43,18,0,7.5,0.87,Standing
32750,44.5,0.5,17.5,0.5,8.75,0.83,Standing
33000,45,0,17.33,0.47,6.75,1.3,Standing
33250,44.6,0.49,15.6,0.49,6.75,0.83,Standing
33500,44.5,0.5,17,0.71,6.25,1.09,Standing
33750,44.5,0.5,18,0,4.5,0.5,Standing
34000,44.5,0.5,18,0,7.5,1.8,Standing
34250,44.33,0.47,18.33,0.47,9.67,0.94,Standing
34500,44.5,0.5,17,0.71,9,1.22,Standing
34750,44.5,0.5,17.75,0.43,10.5,0.5,Standing
35000,44.5,0.5,17.75,0.43,9,1,Standing
35250,44.5,0.5,18.5,0.87,9.25,0.83,Standing
35500,44.5,0.5,18.5,0.5,10,0.71,Standing
35750,43.75,0.83,18.5,0.87,8.25,1.3,Standing
36000,44,0.71,17.67,0.47,8.67,0.47,Standing
36250,43.25,0.83,15.5,1.12,8,1,Standing
36500,39,2.12,12,0,7.5,1.66,Standing
36750,37.75,1.3,10.25,1.79,13,2.83,Standing
37000,39.67,0.47,9,1.22,17.67,0.47,Standing
37250,37.75,1.3,15,1.87,13.25,3.03,Standing
37500,40.25,1.79,18,0,8.75,0.43,Standing
37750,44.67,0.47,20,0.82,9.75,1.64,Standing
38000,44.75,0.43,19.5,0.5,9.67,0.47,Standing
38250,44.5,0.5,18.75,0.83,8.75,0.43,Standing
38500,43.5,0.5,18.25,0.43,8.5,1.12,Standing
38750,43.25,0.83,19.25,1.09,8,0.71,Standing
39000,42.75,0.43,19.5,0.5,7,1.22,Standing
39250,44.5,0.5,18.25,0.43,7,0.71,Standing
39500,45,0,17,0.71,9.75,1.79,Standing
39750,45,0,15,0,11.25,0.43,Standing
40000,44.5,0.5,15,0,10.33,0.94,Standing
40250,44.5,0.5,17,1.22,10,0.71,Standing
40500,44.5,0.5,17.75,0.43,12,0,Standing
40750,45,0,18,0,10.25,0.83,Standing
41000,45,0,15.5,0.5,11.67,0.47,Standing
41250,44.33,0.47,16,0.82,12.25,0.43,Standing
41500,44.5,0.5,17,0.71,11.75,0.43,Standing
41750,44.5,0.5,17.75,0.43,11.25,0.83,Standing
42000,44.75,0.43,18,0,11.75,0.43,Standing
42250,44.75,0.43,17.75,0.43,10.5,1.12,Standing
42500,44.75,0.43,17.25,0.83,8.75,1.48,Standing
42750,45,0,15,0,10.5,0.5,Standing
43000,44.4,0.49,15,0,10,1.1,Standing
43250,44.5,0.5,15.75,0.83,7,0,Standing
43500,44.25,0.83,16.67,0.94,6.67,2.62,Standing
43750,44.25,0.43,15,0,10.25,1.09,Standing
44000,44.33,0.47,16.25,1.3,12,0.82,Standing
44250,44.25,0.43,17.75,0.43,11.75,0.43,Standing
44500,45,0,18.25,0.43,11.75,0.83,Standing
44750,44.67,0.47,18,0,12.75,0.83,Standing
45000,44.75,0.43,15.75,0.83,13.75,1.48,Standing
45250,45,0,12.75,1.3,13,2.24,Standing
45500,45,0,8.5,2.87,9.75,1.48,Standing
45750,44.75,0.43,9.25,1.09,8,1.87,Standing
46000,43.75,1.09,8.25,1.3,11.5,1.5,Standing
46250,42.75,0.43,12.5,1.12,11,0,Standing
46500,43.75,0.43,15,0,8.67,1.25,Standing
46750,44.5,0.5,15.33,0.47,6,0.82,Standing
47000,45,0,17.25,0.43,10.5,0.5,Standing
47250,45,0,17.75,0.43,10.75,1.09,Standing
47500,45,0,17.33,0.47,11.5,0.5,Standing
47750,44.5,0.5,16.75,0.83,10.25,0.43,Standing
48000,44.5,0.5,15.75,0.83,9.75,0.43,Standing
48250,44.5,0.5,17.25,1.3,10.75,1.09,Standing
48500,44.5,0.5,17.5,0.5,10.5,0.87,Standing
48750,44.5,0.5,16.75,0.43,8.25,1.3,Standing
49000,44.5,0.5,16.25,0.83,7,1.41,Standing
49250,44.75,0.43,15,0,6.33,0.47,Standing
49500,44.5,0.5,15,0,7.4,1.02,Standing
49750,44.75,0.43,15,0,7.33,1.7,Standing
50000,44.67,0.47,15,0,6.67,1.89,Standing
50250,44.67,0.47,15.5,0.87,7.5,0.5,Standing
50500,44.33,0.47,17.33,0.47,7.25,1.64,Standing
50750,44.5,0.5,18,0,9,0.71,Standing
51000,44.5,0.5,18,0,10,0.71,Standing
51250,44.75,0.43,16,1,9.25,0.43,Standing
51500,44.75,0.43,15.33,0.47,10.33,1.25,Standing
51750,44.5,0.5,15.5,0.5,9,1.22,Standing
52000,44.5,0.5,15.25,0.43,9.5,1.5,Standing
52250,44.33,0.47,16,0,11,0.82,Standing
52500,44.5,0.5,15.2,0.4,7.5,2.69,Standing
52750,44.5,0.5,14.67,0.47,6.67,0.94,Standing
53000,44.5,0.5,14.25,0.83,6.75,1.09,Standing
53250,44.67,0.47,15.25,0.43,8.67,1.25,Standing
53500,44.5,0.5,15,0,8.5,0.87,Standing
53750,44.33,0.47,15,0,7,0,Standing
54000,44.5,0.5,14.75,0.43,4.33,2.62,Standing
54250,44.75,0.43,16.25,0.83,5,2.16,Standing
54500,44.5,0.5,16.5,0.87,9,2.35,Standing
54750,45,0,17.25,0.83,8.25,1.48,Standing
55000,45,0,16.75,1.3,8,1.58,Standing
55250,45,0,16.75,1.3,8.25,1.92,Standing
55500,45,0,16.25,0.43,10.75,1.92,Standing
55750,43.75,1.09,15.25,1.09,12.25,0.43,Standing
56000,41.75,0.43,12,0,9.67,1.25,Standing
56250,40.33,1.25,12,0,10,0.82,Standing
56500,39,0,10.67,1.25,9,2.35,Standing
56750,39.33,0.47,14.67,0.47,7,1.22,Standing
57000,39.75,0.83,17.25,0.83,9.75,1.3,Standing
57250,39.75,0.83,17.75,0.43,8,1.22,Standing
57500,39.25,0.43,17.75,0.43,11.25,1.3,Standing
57750,39,0,17.75,1.09,8.5,3.91,Standing
58000,39,0,16.25,1.09,4.75,1.79,Standing
58250,39.5,0.5,15.5,1.12,4.5,3.57,Standing
58500,41.25,0.43,17.25,0.83,6,2.83,Standing
58750,41.75,0.43,16,1.41,10,0,Standing
59000,42,0,16.75,1.3,6,1,Standing
59250,41.75,0.43,20,1,8.67,1.25,Standing
59500,41.5,0.5,18.5,0.87,6.75,2.28,Standing
59750,41,0.82,16.67,0.47,3,1.22,Standing
60000,40.8,0.75,14,1.67,6,1.41,Standing
60250,40.33,0.47,14,1.41,11,1.87,Standing
60500,40,0.82,13.67,0.47,12.5,0.87,Standing
60750,40.5,0.5,16,1.63,7.33,1.25,Standing
61000,41.25,0.43,18,0,10.5,0.87,Standing
61250,42,0,17.75,0.43,9.25,1.3,Standing
61500,42,0,14.5,0.87,8,2.92,Standing
61750,41.5,0.5,13.33,1.25,10,1.41,Standing
62000,41.5,0.5,16.5,1.5,12,0,Standing
62250,41.67,0.47,14.75,2.17,6.5,2.5,Standing
62500,42,0,16.75,0.83,11.25,1.48,Standing
62750,42,0,16.5,1.12,13,1.87,Standing
63000,42,0,15.75,1.92,12.75,1.48,Standing
63250,42,0,13.75,0.83,9,0.82,Standing
63500,42,0,14.5,1.12,10.75,1.09,Standing
63750,42,0,13.67,0.47,9.75,0.83,Standing
64000,42,0,16.33,1.7,8.5,0.5,Standing
64250,42,0,17.67,0.47,6.33,2.05,Standing
64500,42,0,16,1.22,9.75,0.43,Standing
64750,42,0,15.25,0.43,11,1.58,Standing
65000,42,0,15,0,6.5,1.5,Standing
65250,42,0,15,0.71,2.25,1.09,Standing
65500,42,0,16,1,6.25,1.48,Standing
65750,42,0,15.33,0.47,8.67,1.25,Standing
66000,42,0,16,1.41,9,1,Standing
66250,42,0,17.5,0.5,5.67,2.05,Standing
66500,42,0,17.67,0.47,6.5,2.5,Standing
66750,42,0,14,1.58,6.5,0.5,Standing
67000,42,0,14,1,4,2.24,Standing
67250,42,0,16,1.22,2.5,1.12,Standing
67500,42,0,15,0,9,1.41,Standing
67750,42,0,16.75,0.43,12.5,0.5,Standing
68000,42,0,16.5,0.87,9.33,1.25,Standing
68250,42,0,16.25,1.3,10.33,1.25,Standing
68500,42,0,17.5,0.5,9,0.71,Standing
68750,42,0,17.67,2.05,8.67,0.47,Standing
69000,42,0,16.33,1.25,12.5,0.5,Standing
69250,41.33,0.47,14.67,0.47,10.5,1.12,Standing
69500,41.75,0.43,13.25,1.09,5.67,1.25,Standing
69750,42,0,14.25,0.83,3,2,Standing
70000,42.25,0.43,15.33,0.94,5,0.82,Standing
70250,42.25,0.43,17,0.82,6.67,0.47,Standing
70500,42.5,0.5,19,1,9.75,0.83,Standing
70750,43.33,0.47,20.75,0.43,9.33,1.7,Standing
71000,44,0.71,20.67,0.47,8.33,1.7,Standing
71250,44,0.71,19.5,1.5,10.75,1.09,Standing
