# Task: walking,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,32.25,3.27,14.5,6.02,13.25,4.02,Walking
250,37.5,1.12,16.75,4.6,17.25,4.32,Walking
500,34,7.45,18,0,16,2.55,Walking
750,28.75,4.02,14.5,1.5,15,2.55,Walking
1000,37.5,5.41,15.25,4.44,14.67,1.25,Walking
1250,40.5,3.84,14,7.84,12.5,4.03,Walking
1500,39,0,16,1.41,20,1.41,Walking
1750,41.5,2.06,20,1.58,16,2.12,Walking
2000,31.25,4.44,14.6,2.42,16.4,2.87,Walking
2250,25.25,4.26,11.5,6.54,16.75,3.49,Walking
2500,33,1.87,15,4.24,19,1.63,Walking
2750,36.25,0.43,15,1.22,17.25,3.9,Walking
3000,37,1.22,16,3.39,13,4.47,Walking
3250,39.75,7.98,18.25,2.28,16,3.61,Walking
3500,29.33,1.89,12.33,3.86,11.33,3.86,Walking
3750,30.33,2.49,17,5.05,11.33,0.94,Walking
4000,41.33,2.62,12.67,3.4,13.33,0.94,Walking
4250,36.75,3.27,17.75,2.28,16.25,5.07,Walking
4500,31.5,4.5,8.33,5.19,13.25,3.96,Walking
4750,34.5,10.06,12.33,2.36,15.25,4.71,Walking
5000,28.75,1.09,11.33,2.05,17.67,1.89,Walking
5250,30.33,4.92,14,3.58,17,1.41,Walking
5500,39.75,5.63,13,1.22,13.75,2.05,Walking
5750,28,1.41,21,1.87,12.75,2.28,Walking
6000,33.75,3.9,18.5,2.29,13.75,5.02,Walking
6250,40,6.2,15.25,2.17,17.33,2.36,Walking
6500,26.25,5.93,14,1.41,18.75,3.27,Walking
6750,32,5.52,15.75,1.48,19.5,2.06,Walking
7000,39,4.64,16.67,5.44,17,1.63,Walking
7250,36.25,0.43,17.67,4.03,14.33,2.05,Walking
7500,33.75,4.92,17,2.68,15.2,2.48,Walking
7750,33.25,5.07,13.67,1.7,13,1.41,Walking
8000,23.25,7.66,13.5,2.06,16.5,4.15,Walking
8250,32,8.28,14.5,4.27,15.67,2.62,Walking
8500,39,4.24,17.67,2.87,14,2.83,Walking
8750,36,2.12,15.75,3.11,16,4.3,Walking
