# Task: bending2,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,24.5,0.5,15.5,0.87,26,2.74,Bending2
250,25,0,13.5,3.64,33.5,2.6,Bending2
500,26,0.71,14.25,3.9,18.5,13.61,Bending2
750,24.33,0.47,15.67,2.62,25.5,3.64,Bending2
1000,23.5,0.87,16.25,1.3,23,1.22,Bending2
1250,23.5,0.5,17.75,0.43,22.5,1.5,Bending2
1500,21.75,0.83,16.75,0.43,21.75,6.65,Bending2
1750,21.75,0.43,14,2.55,24.25,5.76,Bending2
2000,21.25,0.43,17.5,1.5,18.25,2.17,Bending2
2250,21.25,0.43,19.5,2.06,21.5,2.06,Bending2
2500,21,0,19.75,0.43,18.25,0.83,Bending2
2750,21.25,0.43,17.5,1.8,20.75,4.44,Bending2
3000,23,0.71,16.25,1.79,23.25,2.49,Bending2
3250,23.25,0.43,18,0,22,0.71,Bending2
3500,23.75,0.43,18,0,21,0,Bending2
3750,24,0,18,0,20.75,0.43,Bending2
4000,24,0,18,0,21.4,0.49,Bending2
4250,24,0,18,0,21,0.82,Bending2
4500,24,0,14.25,1.92,24.67,1.7,Bending2
4750,23.6,0.49,16.25,2.49,30.2,0.4,Bending2
5000,23.67,0.47,12,0.71,28,1.41,Bending2
5250,23.33,0.47,12.33,0.47,29.75,0.43,Bending2
5500,24,0,13,0.71,29.75,0.43,Bending2
5750,24,0,14.75,0.43,29,0.71,Bending2
6000,24,0,13.75,0.83,30,0,Bending2
6250,24,0,12.25,0.43,29.5,0.5,Bending2
6500,24,0,11.25,0.43,28,0.71,Bending2
6750,24.25,0.43,11.75,0.43,26.25,3.03,Bending2
7000,24.25,0.43,16.33,0.47,21.33,0.47,Bending2
7250,24.25,0.43,12.25,0.43,28,2.74,Bending2
7500,24.33,0.47,12.75,1.09,23,1.41,Bending2
7750,24,0,14.33,0.47,27,0,Bending2
8000,24.75,0.83,14.5,1.5,27.25,1.09,Bending2
8250,25.5,0.5,11.75,1.09,27.75,1.92,Bending2
8500,25.75,0.43,14.75,0.43,18,3.74,Bending2
8750,25.5,0.5,15,1.41,19.5,2.69,Bending2
9000,25.25,0.83,18,0,22.5,1.12,Bending2
9250,25.5,0.5,16.75,1.3,18,2.12,Bending2
9500,25.75,0.43,17.33,0.94,19.67,2.36,Bending2
9750,24.75,0.43,13.75,1.3,26,1.58,Bending2
10000,25,0.82,13.5,1.5,29.67,0.47,Bending2
10250,26,1,13,1,29.33,1.7,Bending2
