# Task: cycling,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,35.75,1.79,21,2.45,20.5,0.5,Cycling
250,38.75,1.48,17,4.32,19.67,2.05,Cycling
500,41.67,0.47,15.75,5.12,20.33,5.19,Cycling
750,41.67,0.47,12,3.67,15,7.07,Cycling
1000,35,2.83,21.67,5.56,27,2.12,Cycling
1250,31.5,5.17,22.5,6.18,20,3.24,Cycling
1500,31.5,6.18,22.75,1.09,18.25,3.96,Cycling
1750,39.25,0.43,20,3.24,19.5,4.97,Cycling
2000,41.5,0.5,16.25,2.28,18,4.64,Cycling
2250,37.25,2.68,19,6.56,26,3.67,Cycling
2500,33.5,2.69,23,1.41,20,1.41,Cycling
2750,35.25,5.12,23.33,0.94,16.67,3.4,Cycling
3000,37.75,1.3,20.75,1.64,21.75,2.49,Cycling
3250,41.67,0.47,13.5,5.59,13.33,2.62,Cycling
3500,37.25,4.49,17,4.47,21.25,2.77,Cycling
3750,33.67,1.7,25.67,1.25,22.75,5.93,Cycling
4000,36.25,4.76,23.5,2.18,20.25,2.49,Cycling
4250,34.75,6.26,19,3.94,20.5,2.5,Cycling
4500,41.25,1.48,17.75,5.49,21,2.55,Cycling
4750,39.75,3.96,17.33,1.7,21.67,2.05,Cycling
5000,32.25,1.92,24.5,2.29,23,1.58,Cycling
5250,33.5,4.39,23,1.41,12.33,6.94,Cycling
5500,36.75,4.44,23.2,2.64,17.2,2.93,Cycling
5750,38.25,0.83,17.33,6.24,19.67,2.62,Cycling
6000,42,1.87,15.5,1.8,19.25,4.87,Cycling
6250,36.25,3.19,15.25,3.27,23,1.22,Cycling
6500,31.33,1.25,24,1.22,25.67,1.89,Cycling
6750,37.33,3.3,23.75,1.79,14.33,1.7,Cycling
7000,35.5,3.35,20.5,2.29,14.5,2.29,Cycling
7250,38.75,0.43,14,7.45,19.5,3.2,Cycling
7500,41.33,1.7,13.33,3.4,11.75,3.7,Cycling
7750,35.5,3.84,19.5,5.41,21.25,2.49,Cycling
8000,31.75,2.49,25,1.22,18.25,2.17,Cycling
8250,35.5,5.77,22.5,5.02,15.67,1.7,Cycling
8500,36.25,2.17,16.5,6.18,16,3.16,Cycling
8750,40.5,1.12,17.5,3.2,20.25,1.48,Cycling
9000,38.25,5.54,17.5,0.5,18.75,5.07,Cycling
9250,33,2.12,23.25,3.27,23.25,1.3,Cycling
9500,34,3.67,17.75,9.78,16.75,1.79,Cycling
9750,37.5,1.12,19.25,3.27,17.67,1.25,Cycling
10000,39.75,1.3,16.5,6.87,18.75,6.3,Cycling
10250,41.75,0.43,10.75,3.63,15.5,7.5,Cycling
10500,38.33,0.94,18.33,4.11,25.5,1.5,Cycling
10750,33.25,1.79,23.25,1.3,15.5,6.26,Cycling
11000,37.67,2.36,21.25,2.95,12.33,2.87,Cycling
11250,38,0,20.33,2.05,17.67,3.86,Cycling
11500,41,1.22,15.25,5.07,14.5,8.38,Cycling
11750,39.25,2.17,15.5,3.04,21.5,3.91,Cycling
12000,34,3.74,24.75,2.49,14.67,3.68,Cycling
12250,34,3.16,20.5,3.64,14.5,7.37,Cycling
12500,37.5,1.12,18.5,2.5,15.33,2.49,Cycling
12750,40.25,0.83,18.33,3.09,22.67,1.89,Cycling
13000,42,0,13,1.41,16,4.08,Cycling
13250,37.75,1.09,18.5,4.5,24.25,2.49,Cycling
13500,32.67,0.47,25.33,0.94,18.33,6.94,Cycling
13750,33.75,3.77,18.25,6.34,16.75,3.96,Cycling
14000,37.5,1.12,16.5,3.64,12.75,4.66,Cycling
14250,40,1.22,14.75,2.17,19,2.74,Cycling
14500,40,4.18,17,1.58,21.5,2.87,Cycling
14750,31.5,3.35,21,3.56,24.67,0.94,Cycling
15000,30.25,5.85,20.25,2.95,19.75,3.03,Cycling
15250,33,5.2,18.75,3.9,17.5,4.15,Cycling
15500,39,0.82,15.67,4.99,22,1,Cycling
15750,40.75,1.3,13,3.16,12.67,7.36,Cycling
16000,39,2.16,16.67,3.4,20,4.06,Cycling
16250,33.75,3.11,24,1.41,19.5,4.97,Cycling
16500,34.25,6.38,20,3.24,17.5,0.87,Cycling
16750,36.75,2.49,19.25,4.76,12.25,7.15,Cycling
17000,39.33,2.49,15,0,16,5.74,Cycling
17250,38.33,1.25,17.33,3.68,25,2.45,Cycling
17500,30.5,3.64,26.33,0.94,21.67,4.5,Cycling
17750,33.75,4.49,21.75,1.3,21.5,1.12,Cycling
18000,38.5,0.87,20,2.16,14,6.16,Cycling
18250,41.33,0.47,13.67,0.94,19.5,4.5,Cycling
18500,40,1.63,13.75,3.27,19,5.1,Cycling
18750,32.75,4.44,28,0.82,25,2.16,Cycling
19000,29.67,4.92,19.33,1.25,21.25,1.92,Cycling
19250,37.75,1.09,18,4.74,12,5.52,Cycling
19500,39,0.71,16.75,4.76,21.25,3.27,Cycling
19750,42,1,15,2.55,12.25,6.76,Cycling
20000,31.67,3.68,20,2.83,23,1.58,Cycling
20250,28.75,3.27,25,1.41,19,2.83,Cycling
20500,35.67,2.05,21.67,3.3,20,1.22,Cycling
20750,38.5,0.87,19.33,3.86,11,3,Cycling
21000,40,1.22,13.5,4.72,20.25,3.9,Cycling
21250,41,1,10,0,22,3,Cycling
21500,34,4.6,21,4.95,26.33,2.49,Cycling
21750,30.67,6.55,16.67,8.34,19.75,1.3,Cycling
22000,35.25,3.11,17.75,2.59,15,3.08,Cycling
22250,38.75,0.43,14.75,8.9,21.5,2.6,Cycling
22500,41.5,0.5,12.5,1.8,13,6.4,Cycling
22750,37,3.74,20.33,3.3,23.5,1.66,Cycling
23000,29.25,3.96,24.25,2.49,16.5,3.2,Cycling
23250,32.75,5.21,19.5,4.5,19.5,1.5,Cycling
23500,38.25,0.83,16.25,6.1,9.75,4.6,Cycling
23750,39.33,1.25,12.25,7.29,20.33,7.41,Cycling
24000,39.5,1.5,17.5,2.5,18,3,Cycling
24250,37,2.83,25.67,1.25,26.25,3.11,Cycling
24500,34.33,3.3,22,0.82,16.25,3.27,Cycling
24750,37.5,3.35,21.75,4.15,15,3,Cycling
25000,37.5,0.87,18.75,3.56,18.75,4.44,Cycling
25250,40.5,1.5,13.5,1.12,13.75,6.34,Cycling
25500,40.25,2.05,17.5,4.27,22,5.15,Cycling
