# Task: lying,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,39.67,0.47,8.75,0.43,14.67,0.47,Lying
250,39.67,0.47,8.75,0.43,14.67,0.47,Lying
500,39.33,0.47,8,0.82,14.25,0.43,Lying
750,39.67,0.47,7.5,0.5,13.67,1.25,Lying
1000,39.33,0.47,9,0,13.5,0.5,Lying
1250,39.8,0.75,8.4,0.49,13.25,0.83,Lying
1500,39.33,0.47,7.67,0.47,13.75,0.83,Lying
1750,39.5,0.5,8.5,0.5,13.75,1.3,Lying
2000,39.5,0.5,6.75,1.48,13.75,1.09,Lying
2250,39.5,0.5,1.5,0.5,14.25,0.43,Lying
2500,39.5,0.5,1,0,12.25,0.43,Lying
2750,39.5,0.5,2,0,11,0.82,Lying
3000,39.5,0.5,4,1.58,9.25,0.83,Lying
3250,39.5,0.5,6,0,8,1,Lying
3500,39.67,0.47,6.25,0.43,9.33,0.47,Lying
3750,39.67,0.47,6.5,1.12,9.33,1.25,Lying
4000,39.5,0.5,8.5,0.5,11.25,0.83,Lying
4250,39.5,0.5,8,0,11.67,0.47,Lying
4500,39.5,0.5,5.75,0.43,12,0,Lying
4750,39.67,0.47,4.75,0.83,11.67,0.47,Lying
5000,39.33,0.47,7,0.82,11.5,0.5,Lying
5250,39.5,0.5,7,0,8.5,0.5,Lying
5500,39.5,0.5,6,0.71,8.25,1.79,Lying
5750,39.75,0.43,4.75,0.83,9.75,0.83,Lying
6000,39.5,0.5,6.75,0.43,10.5,1.12,Lying
6250,39.5,0.5,6.5,0.87,11.5,0.5,Lying
6500,39.67,0.47,5.5,0.5,12,0,Lying
6750,39.5,0.5,5.5,0.87,10,0.71,Lying
7000,39.5,0.5,5.67,1.25,9.33,0.47,Lying
7250,39.5,0.5,6.25,0.43,7.5,0.5,Lying
7500,39.5,0.5,6.5,0.5,7.75,0.83,Lying
7750,39.5,0.5,9,0,9.33,0.47,Lying
8000,39.67,0.47,8,0.71,10,0.82,Lying
8250,39.5,0.5,8,1.58,11.25,0.83,Lying
8500,39.67,0.47,8.5,0.5,11,0.82,Lying
8750,39.33,0.47,9.33,0.47,10.75,1.09,Lying
9000,39.67,0.47,8.25,0.83,11.67,0.47,Lying
9250,39.5,0.5,5.5,1.12,9,0.71,Lying
9500,39.5,0.5,5.33,2.05,8.33,0.94,Lying
9750,39.5,0.5,7,0.82,10.33,1.25,Lying
10000,39.5,0.5,8.5,0.87,11,1.22,Lying
10250,39.5,0.5,8,0.82,9.67,0.94,Lying
10500,39.5,0.5,7,0.82,9.75,0.83,Lying
10750,39.67,0.47,8.25,0.83,9.67,0.47,Lying
11000,39.5,0.5,9,0,9.25,0.43,Lying
11250,39.67,0.47,9,1,7.75,0.43,Lying
