# Task: sitting,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,44,0.71,18.75,0.43,7.75,1.3,Sitting
250,44,0,18.5,0.5,8.67,0.47,Sitting
500,43.75,0.83,18,0,9.67,0.94,Sitting
750,43.75,0.43,18.25,0.43,9,0,Sitting
1000,43.75,0.43,18,0,9,0,Sitting
1250,44,0,18.25,0.43,10,0,Sitting
1500,44,0,18,0,10.75,1.09,Sitting
1750,43.5,0.5,18,0,11,0.71,Sitting
2000,44,0,18,0,12,0,Sitting
2250,43.5,0.5,18,0,12,0,Sitting
2500,43.33,0.47,18,0,12.75,0.83,Sitting
2750,43.5,0.5,18,0,13,1,Sitting
3000,44,0,18,0,12.5,0.5,Sitting
3250,43.5,0.5,18,0,11.75,0.43,Sitting
3500,43.5,0.5,18,0,9.5,1.5,Sitting
3750,43.25,0.83,17.75,0.43,15,2.12,Sitting
4000,43.5,0.5,16.67,0.47,18.33,0.47,Sitting
4250,43.75,0.43,17.75,0.43,16.75,1.3,Sitting
4500,43.5,0.5,18.25,0.43,16,0.71,Sitting
4750,43.5,0.5,16,0.71,17.25,0.83,Sitting
5000,43.5,0.5,13.75,0.83,19,0.71,Sitting
5250,43.67,0.47,13,0,20.67,0.47,Sitting
5500,43.5,0.5,13,0,20.25,0.83,Sitting
5750,43.33,0.47,14.67,0.47,20,0.71,Sitting
6000,43.5,0.5,15,0,19.5,0.87,Sitting
6250,43.5,0.5,14.5,0.5,19.5,1.12,Sitting
6500,43.5,0.5,14.5,0.5,19.25,0.83,Sitting
6750,43.5,0.5,14,1.22,17.5,1.5,Sitting
7000,43.5,0.5,11.75,0.43,15.75,1.48,Sitting
7250,43.25,0.83,12.75,0.43,16.75,0.83,Sitting
7500,43.25,0.83,12,0,18,0,Sitting
7750,43.25,0.83,11.5,0.5,18.5,0.5,Sitting
8000,43.5,0.5,10.75,0.43,18.25,0.43,Sitting
8250,43.5,0.5,9.67,1.7,18.33,0.47,Sitting
8500,43,0.71,12.75,0.43,20.5,0.5,Sitting
8750,42.67,0.47,12.25,1.09,23,1.41,Sitting
9000,42.5,0.5,16.5,1.5,18,1.22,Sitting
9250,42.33,0.47,18.67,0.94,17.75,0.43,Sitting
9500,42,0,19.5,0.5,13.25,2.68,Sitting
9750,42,0,20,1,13,3.54,Sitting
10000,42,0,19.25,0.83,20,2.35,Sitting
10250,42,0,17.75,0.43,21.5,0.5,Sitting
10500,42,0,17.75,0.43,21.5,0.5,Sitting
10750,42,0,18,0,22.25,0.83,Sitting
11000,42,0,18.25,0.43,21.25,0.43,Sitting
11250,42,0,20.5,0.87,20.75,0.43,Sitting
11500,42,0,18.75,1.3,20.75,0.83,Sitting
11750,42,0,17.25,0.43,20,1,Sitting
12000,42,0,17,0.82,21,0,Sitting
12250,42,0,17.25,0.43,20.5,0.5,Sitting
12500,42,0,18,0,20.67,0.47,Sitting
12750,42,0,18,0,20,1.1,Sitting
13000,42,0,18.5,0.5,19,0,Sitting
13250,42,0,16.87,3.59,16.29,4.67,Sitting
13750,42,0,18.25,1.79,18.25,2.17,Sitting
14000,42,0,18,1.58,15.75,2.59,Sitting
14250,42.25,0.43,16,2.94,13,1.63,Sitting
14500,43.5,0.5,18.25,0.83,4,0.71,Sitting
14750,43.33,0.47,18.75,0.43,8.33,0.47,Sitting
15000,43.5,0.5,18.5,0.5,8,1.41,Sitting
15250,43.5,0.5,18.25,0.43,10.25,3.27,Sitting
15500,43.5,0.5,18,0,14.5,0.87,Sitting
15750,43.33,0.47,18,0,14.5,0.5,Sitting
16000,43.5,0.5,18,0,15,0,Sitting
16250,43.5,0.5,18,0,13,0.82,Sitting
16500,43.5,0.5,18,0,11.75,0.43,Sitting
16750,43.5,0.5,18,0,8.5,0.5,Sitting
17000,43.5,0.5,17.67,0.47,6,0.82,Sitting
17250,43.5,0.5,16.67,1.25,7.5,0.5,Sitting
17500,43.75,0.43,12.67,0.94,5.5,4.5,Sitting
17750,44,0,15.75,0.43,7,1.63,Sitting
18000,44.67,0.47,9.33,1.25,8,1,Sitting
18250,45,0,10.67,1.25,9,0,Sitting
18500,44.67,0.47,8.33,1.7,8.33,0.47,Sitting
18750,44.5,0.5,10.25,4.02,7.67,1.89,Sitting
19000,43.5,0.5,17.25,0.83,10.33,1.25,Sitting
19250,44,0,18,0,12,0,Sitting
19500,44.5,0.5,17.75,0.43,10,0.82,Sitting
19750,44.25,0.43,18,0,9.25,0.43,Sitting
20000,44.5,0.5,18,0,8.75,0.43,Sitting
20250,44,0.71,18,0,9,0,Sitting
20500,44.5,0.5,18,0,7.5,1.12,Sitting
20750,44.5,0.5,17.5,0.5,9,0,Sitting
21000,44.33,0.47,17.25,0.43,9,0,Sitting
21250,44,0.82,17,0,8,1.22,Sitting
21500,44.25,0.43,18.25,0.43,9,2.55,Sitting
21750,43.5,0.5,15.25,1.92,9.25,3.27,Sitting
