# Task: standing,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,39.5,0.5,9,0,18,0,Standing
250,39.25,0.43,11,1,17.5,0.5,Standing
500,39.25,0.43,12,0,16.5,0.5,Standing
750,39,0,11,0.71,16.75,0.83,Standing
1000,39,0,11.75,0.43,18,0,Standing
1250,39,0,10,0.82,17,0.82,Standing
1500,39,0,9.33,0.47,16.67,0.47,Standing
1750,39,0,9.67,0.94,16.5,0.5,Standing
2000,39,0,11,1.22,16.33,0.94,Standing
2250,39,0,10.25,0.43,16.25,0.83,Standing
2500,39.5,0.5,7.25,0.83,17,1.22,Standing
2750,39.33,0.47,7,0,17.75,0.43,Standing
3000,39.5,0.5,8.5,0.5,17.25,0.83,Standing
3250,39.25,0.43,10,0.71,16.75,0.43,Standing
3500,39.25,0.43,11.75,0.43,16.5,0.5,Standing
3750,39.5,0.5,12,0,17,1,Standing
4000,39.5,0.5,12.25,0.43,17,0.71,Standing
4250,39.5,0.5,13,0,17.5,0.5,Standing
4500,39.25,0.43,13.75,0.43,17,0.71,Standing
4750,39.25,0.43,14,0,17.5,0.5,Standing
5000,39.5,0.5,13,1,17,0.71,Standing
5250,39.5,0.5,12.25,0.43,16.5,1.12,Standing
5500,39.5,0.5,12,0,15.75,0.43,Standing
5750,39.5,0.5,10.5,1.12,15.75,0.83,Standing
6000,39.5,0.5,11,1.22,15.75,0.83,Standing
6250,39.5,0.5,12,0,16.75,0.83,Standing
6500,39.5,0.5,12,0,16.33,0.47,Standing
6750,39.5,0.5,11,1,15.75,0.43,Standing
7000,39.5,0.5,9.25,0.43,16,1,Standing
7250,39.67,0.47,9,0,16.33,0.94,Standing
7500,39.5,0.5,7.75,0.83,16.25,0.83,Standing
7750,39.5,0.5,7.5,0.5,16.25,0.83,Standing
8000,39.5,0.5,5.25,0.83,16,1,Standing
8250,39.33,0.47,3,0,15.75,0.83,Standing
8500,39.67,0.47,2,0,16,1,Standing
8750,39.5,0.5,3.25,1.09,16.5,1.12,Standing
9000,39.5,0.5,8.67,0.47,16.75,0.43,Standing
9250,39.5,0.5,9,0,16.5,0.5,Standing
9500,39.33,0.47,9,0,15.75,0.43,Standing
9750,39.5,0.5,9.5,0.87,15,0,Standing
10000,39.5,0.5,12,0.71,16.25,0.83,Standing
10250,39.5,0.5,11.67,0.47,16,0.82,Standing
10500,39.5,0.5,12,0,16.75,0.83,Standing
10750,39.5,0.5,12,0,16,1,Standing
11000,39.67,0.47,12,0,16.33,0.47,Standing
11250,39.5,0.5,12.25,0.43,16.5,1.12,Standing
11500,39.5,0.5,12.25,0.43,16.25,0.83,Standing
11750,39.5,0.5,12,0,16.5,0.87,Standing
12000,39.33,0.47,12,0,15.75,0.83,Standing
