# Task: walking,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
0,37.75,8.93,16.25,5.07,17,4.36,Walking
250,35.25,2.49,11.33,4.92,13.67,2.36,Walking
500,38.33,3.86,19.25,1.48,18.67,2.05,Walking
750,40.5,3.57,17.5,1.8,16,6.2,Walking
1000,30,0,19.67,1.89,16.75,3.42,Walking
1250,34,3.39,15.25,3.27,19.25,4.76,Walking
1500,42.25,4.76,14.75,1.79,18,0.71,Walking
1750,35.25,3.27,20.25,2.28,15.5,1.8,Walking
2000,37.75,6.8,15.75,2.05,13.25,5.89,Walking
2250,40,9.25,14.25,3.34,14.25,4.82,Walking
2500,31.25,2.49,14.67,3.77,19.5,1.5,Walking
2750,34.5,4.97,15.25,1.09,16.5,3.2,Walking
3000,42.67,3.09,17,3.74,14.25,0.83,Walking
3250,37,1.22,13.33,2.62,12.5,1.5,Walking
3500,37.67,2.36,16.5,1.8,17,4.08,Walking
3750,38.25,6.83,14.25,2.59,18.75,1.79,Walking
4000,31.75,4.6,15.5,2.69,17.75,4.92,Walking
4250,34.5,3.35,12,0,17.5,4.27,Walking
4500,39.25,6.34,15.25,3.49,13.75,2.28,Walking
4750,34.75,2.38,16.25,4.71,15.25,2.17,Walking
5000,38,1.41,17.33,3.09,20.75,1.92,Walking
5250,43,3.27,15.75,2.49,16.25,2.68,Walking
5500,33.25,3.27,9.67,2.62,12.5,7.7,Walking
5750,32.25,3.9,14.25,2.77,20.5,1.5,Walking
6000,41.5,5.12,12.25,2.49,14.75,3.77,Walking
6250,37,1.22,17.25,3.27,15.25,2.59,Walking
6500,37.75,2.77,16.5,5.32,13.25,5.07,Walking
6750,39.25,9.55,13.25,3.03,13.25,6.94,Walking
7000,33,3.08,15.5,6.73,20.25,0.83,Walking
7250,28.25,3.7,15.5,2.96,17.75,0.43,Walking
7500,36.75,6.5,13.5,2.6,16.25,3.7,Walking
7750,36.75,1.3,16.33,1.25,16.33,3.68,Walking
8000,38.75,3.7,13,1.87,12.5,3.91,Walking
8250,35,7.48,15.25,4.44,16.67,1.7,Walking
8500,32.5,2.29,16,2.74,18.25,2.86,Walking
8750,24,4.24,14,3.74,18.5,2.5,Walking
9000,38.67,5.31,15,2.94,10.25,4.02,Walking
9250,35.5,1.5,19,3.32,14.5,2.6,Walking
9500,36.25,3.42,18,1.41,13.5,2.69,Walking
9750,39,10.84,14.25,3.27,12.75,5.54,Walking
10000,29.25,1.3,11.75,2.95,22.75,1.3,Walking
10250,26.5,3.77,12.25,6.61,18.75,2.49,Walking
10500,38.75,3.27,16,4.06,17.25,3.56,Walking
10750,40,2.35,14.75,4.26,12.67,3.3,Walking
11000,41,4.85,13.25,1.3,13.25,4.21,Walking
11250,35.5,7.16,12.33,0.47,17.67,4.03,Walking
11500,33.75,3.9,11.5,5.55,19.25,1.09,Walking
11750,38.25,2.49,13.67,5.19,18.33,3.4,Walking
12000,34.67,3.4,19.67,0.94,21.25,0.43,Walking
12250,29.5,5.94,18,3.54,11,4.53,Walking
12500,43.5,2.6,15,5.61,11.5,1.5,Walking
12750,34.25,4.6,18,1.73,16.75,3.34,Walking
13000,34.33,3.09,20.33,3.3,17.75,4.44,Walking
13250,40.75,4.21,18.75,2.77,15,2.45,Walking
13500,41.75,5.12,16.5,6.8,14.75,3.49,Walking
13750,33.75,3.27,18.25,4.02,14.75,1.79,Walking
14000,42.25,1.79,17,3,18.67,0.47,Walking
14250,31.75,2.17,19,2,13,3.27,Walking
14500,28,7.52,15.25,3.49,10.5,6.18,Walking
14750,36,2.45,13.67,4.19,11.33,5.91,Walking
15000,37.67,1.7,18,2.16,19.67,1.89,Walking
15250,27.67,6.55,19.33,3.68,11.5,7.02,Walking
15500,42,3.54,20,2.12,17.25,1.3,Walking
15750,34.5,8.08,11.75,0.43,19.25,1.92,Walking
16000,29.67,2.05,19,3.74,16.5,3.35,Walking
16250,36,3.67,16.75,8.64,8.75,5.72,Walking
16500,37.75,5.07,18.5,4.39,10.5,5.5,Walking
16750,33,3.67,18.75,2.49,16.5,1.5,Walking
17000,43,3.16,11.5,3.57,16.5,3.64,Walking
17250,30,8.49,11.67,3.09,18.25,2.86,Walking
17500,27,3.67,12.25,4.49,11,5.35,Walking
17750,35.5,7.09,14,2.55,15.75,4.71,Walking
18000,36,2.12,13,4.06,15,2.55,Walking
18250,35.25,3.96,17.5,2.69,13.75,2.68,Walking
18500,38.25,11.65,20.67,0.47,10,2,Walking
18750,28.67,1.25,12.75,1.92,19.33,3.09,Walking
19000,21.75,4.44,14.5,5.32,14.75,4.26,Walking
19250,35.5,5.89,17,2.45,13,3.16,Walking
19500,31.33,1.25,19.33,1.89,15.75,2.86,Walking
19750,33.75,4.44,10.5,4.15,17,1.41,Walking
20000,34.75,8.73,9.75,1.3,15.25,5.21,Walking
20250,33,0,11.33,2.62,16.25,2.68,Walking
20500,31.75,3.03,19,5.1,12.5,6.87,Walking
20750,39.75,5.36,11.25,2.86,20.75,1.79,Walking
21000,35.5,2.18,11.75,2.17,18.25,2.77,Walking
21250,35.5,4.15,12.5,2.69,14.75,1.64,Walking
21500,37.5,5.02,13,2.74,17.75,5.12,Walking
21750,28.25,2.49,11.33,1.7,21.33,2.05,Walking
22000,35,7.11,13.75,2.05,14.25,2.49,Walking
22250,38.25,5.76,16.75,4.38,9,3.74,Walking
22500,34.75,4.76,16.25,3.03,19,2.55,Walking
22750,35.25,7.63,12.75,2.49,8.25,5.54,Walking
23000,35,9.27,15.75,2.59,16.67,7.13,Walking
23250,32.67,5.44,13.33,8.18,14,6.4,Walking
23500,35.25,7.95,12.25,4.6,18,3.74,Walking
23750,43,2.35,18.25,4.76,16.5,2.18,Walking
24000,40.75,1.3,19.25,1.64,14.33,3.3,Walking
24250,37.25,7.63,19.25,0.83,14.33,6.65,Walking
24500,33.5,6.98,12.33,4.03,18,5.24,Walking
24750,29,7.87,15.33,2.05,17.67,2.87,Walking
25000,33.33,8.96,15.33,4.64,17.5,2.87,Walking
25250,37,4.06,17.5,5.59,16.25,1.64,Walking
25500,35,3.67,10.75,4.97,15,3,Walking
25750,37.75,8.1,14.33,3.3,17.25,4.76,Walking
26000,33.75,2.49,16.33,2.62,22,2.83,Walking
26250,32.5,2.69,15.75,3.34,11.25,2.49,Walking
26500,40,4.53,13.5,1.5,12.25,2.17,Walking
26750,37,1.41,13.5,1.5,18,3.56,Walking
27000,39.67,1.25,13.75,5.45,16.33,1.25,Walking
27250,36.5,4.97,13,3.24,18.75,1.48,Walking
27500,31.75,4.76,11.33,0.47,16.75,5.76,Walking
27750,35.5,4.5,18.25,2.68,11.5,1.5,Walking
28000,43.75,4.26,15,4.3,15.75,1.79,Walking
28250,36,2.16,17.75,2.77,20.33,1.7,Walking
28500,31,9.25,19.25,3.03,15,6.4,Walking
28750,39.75,5.36,14.25,5.76,16.75,3.03,Walking
29000,28,7.07,9,4.97,17.75,4.26,Walking
29250,34.25,6.26,11.75,5.49,10.25,2.17,Walking
29500,39.25,3.42,10.25,5.21,11.25,1.92,Walking
29750,37.75,1.3,12,4.06,12,4.3,Walking
30000,37.25,1.3,18.25,2.17,15.5,4.15,Walking
30250,32.75,7.56,15,3.94,13,5.34,Walking
30500,30,2.24,13.25,3.34,17.5,3.2,Walking
30750,32.33,5.19,16.33,1.25,14.67,2.87,Walking
31000,36.33,0.47,13,9.09,18.75,2.49,Walking
31250,34.25,3.7,10.75,1.3,18.5,2.5,Walking
31500,40.5,1.5,7,1.41,11,4.18,Walking
31750,30,2.12,15,5.2,13.5,5.72,Walking
32000,27.75,5.76,11.67,3.86,18.25,6.53,Walking
32250,31,7.81,14,3.39,14,4.06,Walking
32500,37,1.22,18,0,13,1.22,Walking
32750,37.5,1.12,15.33,4.64,14,3.74,Walking
33000,39.25,6.3,12,2.12,13.25,1.79,Walking
33250,25.5,4.97,17.25,1.92,18.75,4.32,Walking
33500,20,4,20.33,2.87,20.33,2.49,Walking
33750,29,13.86,17.4,3.56,10.5,1.66,Walking
34000,28,1.41,17,2.16,10.67,2.05,Walking
34250,31.25,4.76,20.5,3.35,11.5,5.89,Walking
34500,40.5,8.08,18.5,2.6,19.5,2.06,Walking
34750,19.25,1.3,17.25,2.68,19.75,2.17,Walking
35000,33.25,4.55,14.25,6.06,18,1.41,Walking
35250,42,3.54,17,3.24,18.25,1.79,Walking
35500,38.75,3.27,12.75,3.27,17.25,1.3,Walking
35750,39,1.87,8,2.83,15.5,2.5,Walking
36000,31.5,8.87,17.25,1.64,21.67,2.62,Walking
36250,25,3.39,17.5,1.66,13,1.41,Walking
36500,34.25,6.14,17.5,2.5,19.5,2.69,Walking
36750,40,4.74,14.33,2.36,16.67,1.25,Walking
37000,37,2.74,13,4.32,16.33,1.7,Walking
37250,41.25,3.27,18.75,3.77,16,4.55,Walking
37500,34,3.54,20.25,2.86,14.75,4.6,Walking
37750,28.67,3.4,17,2.24,15,3.27,Walking
38000,37.5,5.41,14.75,4.32,14.75,1.64,Walking
38250,37.5,0.87,15.5,3.35,13.5,4.03,Walking
38500,37,0.82,11.67,4.92,15.5,6.73,Walking
38750,39.5,3.91,12,1.63,15.25,2.38,Walking
39000,30,1.63,17.67,2.05,14.75,5.76,Walking
39250,26,3.67,15.5,1.8,18.25,2.17,Walking
39500,37.25,1.3,19.75,2.86,10.5,4.72,Walking
39750,29.5,3.77,11.25,5.4,12,5.79,Walking
40000,33.75,5.12,15.25,4.09,20.75,2.77,Walking
40250,38,8.03,13,4.9,14,6.16,Walking
40500,30.75,3.27,15,2.16,18.67,3.3,Walking
40750,35.25,6.5,14.33,2.62,16,2.16,Walking
41000,36.25,5.36,19.25,4.02,9,6.04,Walking
41250,35.5,1.5,18.5,3.77,17.25,7.46,Walking
41500,40.33,3.09,18.75,1.92,16.67,3.68,Walking
41750,33.5,4.5,17.5,3.28,18,2.12,Walking
42000,23.67,4.5,18.67,1.25,19.5,2.06,Walking
